"total_count","gender","district","municipality","ward","beneficiary_type","vulnerable","benef_from","dcode"
"43","Female","Kathmandu","Tokha   Municipality","3","RCB","N","SURVEY_RCB","27"
"1","Female","Kathmandu","Tokha   Municipality","3","RCB","Y","SURVEY_RCB","27"
"2","Female","Kathmandu","Tokha   Municipality","3","RTB","N","SURVEY_RTB","27"
"1","Female","Kathmandu","Tokha   Municipality","4","RCB","N","GRIEVANCE_PHASE_I","27"
"1","Female","Kathmandu","Tokha   Municipality","4","RCB","N","RS_RV_RCB","27"
"14","Female","Kathmandu","Tokha   Municipality","4","RCB","N","SURVEY_RCB","27"
"1","Female","Kathmandu","Tokha   Municipality","4","RTB","N","SURVEY_RTB","27"
"6","Female","Kathmandu","Tokha   Municipality","5","RCB","N","SURVEY_RCB","27"
"1","Female","Kathmandu","Tokha   Municipality","5","RCB","Y","SURVEY_RCB","27"
"2","Female","Kathmandu","Tokha   Municipality","6","RCB","N","GRIEVANCE_PHASE_I","27"
"1","Female","Kathmandu","Tokha   Municipality","6","RCB","N","GRIEVANCE_RCB_II","27"
"22","Female","Kathmandu","Tokha   Municipality","6","RCB","N","SURVEY_RCB","27"
"2","Female","Kathmandu","Tokha   Municipality","7","RCB","N","RS_RV_RCB","27"
"13","Female","Kathmandu","Tokha   Municipality","7","RCB","N","SURVEY_RCB","27"
"2","Female","Kathmandu","Tokha   Municipality","7","RCB","Y","SURVEY_RCB","27"
"2","Female","Kathmandu","Tokha   Municipality","7","RTB","N","SURVEY_RTB","27"
"1","Female","Kathmandu","Tokha   Municipality","8","RCB","N","RS_RV_RCB","27"
"6","Female","Kathmandu","Tokha   Municipality","8","RCB","N","SURVEY_RCB","27"
"1","Female","Kathmandu","Tokha   Municipality","9","RCB","N","GRIEVANCE_PHASE_I","27"
"2","Female","Kathmandu","Tokha   Municipality","9","RCB","N","RS_RV_RCB","27"
"14","Female","Kathmandu","Tokha   Municipality","9","RCB","N","SURVEY_RCB","27"
"1","Female","Kathmandu","Tokha   Municipality","9","RTB","N","SURVEY_RTB","27"
"1","Female","Kathmandu","Tokha   Municipality","10","RCB","N","GRIEVANCE_PHASE_I","27"
"2","Female","Kathmandu","Tokha   Municipality","10","RCB","N","RS_RV_RCB","27"
"10","Female","Kathmandu","Tokha   Municipality","10","RCB","N","SURVEY_RCB","27"
"1","Female","Kathmandu","Tokha   Municipality","10","RCB","Y","SURVEY_RCB","27"
"1","Female","Kathmandu","Tokha   Municipality","10","RTB","N","SURVEY_RTB","27"
"12","Female","Kathmandu","Tokha   Municipality","11","RCB","N","SURVEY_RCB","27"
"1","Female","Kavrepalanchowk","Banepa  Municipality","1","GRB","N","RS_RV_RCB","24"
"7","Female","Kavrepalanchowk","Banepa  Municipality","1","RCB","N","GRIEVANCE_PHASE_I","24"
"10","Female","Kavrepalanchowk","Banepa  Municipality","1","RCB","N","RS_RV_RCB","24"
"63","Female","Kavrepalanchowk","Banepa  Municipality","1","RCB","N","SURVEY_RCB","24"
"10","Female","Kavrepalanchowk","Banepa  Municipality","1","RCB","Y","SURVEY_RCB","24"
"3","Female","Kavrepalanchowk","Banepa  Municipality","1","RTB","N","RS_RV_RTB","24"
"1","Female","Kavrepalanchowk","Banepa  Municipality","1","RTB","N","SURVEY_RTB","24"
"3","Female","Kavrepalanchowk","Banepa  Municipality","2","RCB","N","GRIEVANCE_PHASE_I","24"
"4","Female","Kavrepalanchowk","Banepa  Municipality","2","RCB","N","RS_RV_RCB","24"
"64","Female","Kavrepalanchowk","Banepa  Municipality","2","RCB","N","SURVEY_RCB","24"
"11","Female","Kavrepalanchowk","Banepa  Municipality","2","RCB","Y","SURVEY_RCB","24"
"2","Female","Kavrepalanchowk","Banepa  Municipality","2","RTB","N","RS_RV_RTB","24"
"7","Female","Kavrepalanchowk","Banepa  Municipality","3","RCB","N","GRIEVANCE_PHASE_I","24"
"9","Female","Kavrepalanchowk","Banepa  Municipality","3","RCB","N","RS_RV_RCB","24"
"110","Female","Kavrepalanchowk","Banepa  Municipality","3","RCB","N","SURVEY_RCB","24"
"5","Female","Kavrepalanchowk","Banepa  Municipality","3","RCB","Y","SURVEY_RCB","24"
"2","Female","Kavrepalanchowk","Banepa  Municipality","3","RTB","N","RS_RV_RTB","24"
"1","Female","Kavrepalanchowk","Banepa  Municipality","3","RTB","N","SURVEY_RTB","24"
"1","Female","Kavrepalanchowk","Banepa  Municipality","4","GRB","N","RS_RV_RCB","24"
"23","Female","Kavrepalanchowk","Banepa  Municipality","4","RCB","N","GRIEVANCE_PHASE_I","24"
"8","Female","Kavrepalanchowk","Banepa  Municipality","4","RCB","N","RS_RV_RCB","24"
"113","Female","Kavrepalanchowk","Banepa  Municipality","4","RCB","N","SURVEY_RCB","24"
"9","Female","Kavrepalanchowk","Banepa  Municipality","4","RCB","Y","SURVEY_RCB","24"
"2","Female","Kavrepalanchowk","Banepa  Municipality","4","RTB","N","RS_RV_RTB","24"
"3","Female","Kavrepalanchowk","Banepa  Municipality","4","RTB","N","SURVEY_RTB","24"
"4","Female","Kavrepalanchowk","Banepa  Municipality","5","RCB","N","GRIEVANCE_PHASE_I","24"
"7","Female","Kavrepalanchowk","Banepa  Municipality","5","RCB","N","RS_RV_RCB","24"
"124","Female","Kavrepalanchowk","Banepa  Municipality","5","RCB","N","SURVEY_RCB","24"
"9","Female","Kavrepalanchowk","Banepa  Municipality","5","RCB","Y","SURVEY_RCB","24"
"2","Female","Kavrepalanchowk","Banepa  Municipality","5","RTB","N","RS_RV_RTB","24"
"7","Female","Kavrepalanchowk","Banepa  Municipality","6","RCB","N","GRIEVANCE_PHASE_I","24"
"8","Female","Kavrepalanchowk","Banepa  Municipality","6","RCB","N","RS_RV_RCB","24"
"67","Female","Kavrepalanchowk","Banepa  Municipality","6","RCB","N","SURVEY_RCB","24"
"2","Female","Kavrepalanchowk","Banepa  Municipality","6","RCB","Y","SURVEY_RCB","24"
"5","Female","Kavrepalanchowk","Banepa  Municipality","6","RTB","N","RS_RV_RTB","24"
"7","Female","Kavrepalanchowk","Banepa  Municipality","6","RTB","N","SURVEY_RTB","24"
"2","Female","Kavrepalanchowk","Banepa  Municipality","7","RCB","N","GRIEVANCE_PHASE_I","24"
"3","Female","Kavrepalanchowk","Banepa  Municipality","7","RCB","N","RS_RV_RCB","24"
"61","Female","Kavrepalanchowk","Banepa  Municipality","7","RCB","N","SURVEY_RCB","24"
"3","Female","Kavrepalanchowk","Banepa  Municipality","7","RCB","Y","SURVEY_RCB","24"
"1","Female","Kavrepalanchowk","Banepa  Municipality","7","RTB","N","RS_RV_RTB","24"
"2","Female","Kavrepalanchowk","Banepa  Municipality","7","RTB","N","SURVEY_RTB","24"
"7","Female","Kavrepalanchowk","Banepa  Municipality","8","RCB","N","RS_RV_RCB","24"
"102","Female","Kavrepalanchowk","Banepa  Municipality","8","RCB","N","SURVEY_RCB","24"
"9","Female","Kavrepalanchowk","Banepa  Municipality","8","RCB","Y","SURVEY_RCB","24"
"6","Female","Kavrepalanchowk","Banepa  Municipality","8","RTB","N","RS_RV_RTB","24"
"2","Female","Kavrepalanchowk","Banepa  Municipality","8","RTB","N","SURVEY_RTB","24"
"5","Female","Kavrepalanchowk","Banepa  Municipality","9","RCB","N","GRIEVANCE_PHASE_I","24"
"3","Female","Kavrepalanchowk","Banepa  Municipality","9","RCB","N","RS_RV_RCB","24"
"78","Female","Kavrepalanchowk","Banepa  Municipality","9","RCB","N","SURVEY_RCB","24"
"3","Female","Kavrepalanchowk","Banepa  Municipality","9","RCB","Y","SURVEY_RCB","24"
"7","Female","Kavrepalanchowk","Banepa  Municipality","9","RTB","N","RS_RV_RTB","24"
"1","Female","Kavrepalanchowk","Banepa  Municipality","9","RTB","N","SURVEY_RTB","24"
"15","Female","Kavrepalanchowk","Banepa  Municipality","10","RCB","N","GRIEVANCE_PHASE_I","24"
"11","Female","Kavrepalanchowk","Banepa  Municipality","10","RCB","N","RS_RV_RCB","24"
"129","Female","Kavrepalanchowk","Banepa  Municipality","10","RCB","N","SURVEY_RCB","24"
"3","Female","Kavrepalanchowk","Banepa  Municipality","10","RCB","Y","SURVEY_RCB","24"
"1","Female","Kavrepalanchowk","Banepa  Municipality","10","RTB","N","RS_RV_RTB","24"
"3","Female","Kavrepalanchowk","Banepa  Municipality","10","RTB","N","SURVEY_RTB","24"
"8","Female","Kavrepalanchowk","Banepa  Municipality","11","RCB","N","GRIEVANCE_PHASE_I","24"
"1","Female","Kavrepalanchowk","Banepa  Municipality","11","RCB","N","MANUAL","24"
"8","Female","Kavrepalanchowk","Banepa  Municipality","11","RCB","N","RS_RV_RCB","24"
"84","Female","Kavrepalanchowk","Banepa  Municipality","11","RCB","N","SURVEY_RCB","24"
"8","Female","Kavrepalanchowk","Banepa  Municipality","11","RCB","Y","SURVEY_RCB","24"
"1","Female","Kavrepalanchowk","Banepa  Municipality","11","RTB","N","RS_RV_RTB","24"
"1","Female","Kavrepalanchowk","Banepa  Municipality","11","RTB","N","SURVEY_RTB","24"
"3","Female","Kavrepalanchowk","Banepa  Municipality","12","RCB","N","GRIEVANCE_PHASE_I","24"
"3","Female","Kavrepalanchowk","Banepa  Municipality","12","RCB","N","RS_RV_RCB","24"
"173","Female","Kavrepalanchowk","Banepa  Municipality","12","RCB","N","SURVEY_RCB","24"
"5","Female","Kavrepalanchowk","Banepa  Municipality","12","RCB","Y","SURVEY_RCB","24"
"1","Female","Kavrepalanchowk","Banepa  Municipality","12","RTB","N","RS_RV_RTB","24"
"1","Female","Kavrepalanchowk","Banepa  Municipality","12","RTB","N","SURVEY_RTB","24"
"10","Female","Kavrepalanchowk","Banepa  Municipality","13","RCB","N","GRIEVANCE_PHASE_I","24"
"9","Female","Kavrepalanchowk","Banepa  Municipality","13","RCB","N","RS_RV_RCB","24"
"93","Female","Kavrepalanchowk","Banepa  Municipality","13","RCB","N","SURVEY_RCB","24"
"5","Female","Kavrepalanchowk","Banepa  Municipality","13","RCB","Y","SURVEY_RCB","24"
"2","Female","Kavrepalanchowk","Banepa  Municipality","13","RTB","N","SURVEY_RTB","24"
"8","Female","Kavrepalanchowk","Banepa  Municipality","14","RCB","N","GRIEVANCE_PHASE_I","24"
"6","Female","Kavrepalanchowk","Banepa  Municipality","14","RCB","N","RS_RV_RCB","24"
"101","Female","Kavrepalanchowk","Banepa  Municipality","14","RCB","N","SURVEY_RCB","24"
"9","Female","Kavrepalanchowk","Banepa  Municipality","14","RCB","Y","SURVEY_RCB","24"
"1","Female","Kavrepalanchowk","Banepa  Municipality","14","RTB","N","SURVEY_RTB","24"
"2","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","1","RCB","N","RS_RV_RCB","24"
"16","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","1","RCB","N","SURVEY_RCB","24"
"1","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","1","RCB","Y","SURVEY_RCB","24"
"2","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","2","RCB","N","GRIEVANCE_PHASE_I","24"
"2","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","2","RCB","N","MANUAL","24"
"23","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","2","RCB","N","RS_RV_RCB","24"
"85","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","2","RCB","N","SURVEY_RCB","24"
"13","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","2","RCB","Y","SURVEY_RCB","24"
"11","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","2","RTB","N","RS_RV_RTB","24"
"6","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","2","RTB","N","SURVEY_RTB","24"
"7","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","3","RCB","N","GRIEVANCE_PHASE_I","24"
"11","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","3","RCB","N","RS_RV_RCB","24"
"108","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","3","RCB","N","SURVEY_RCB","24"
"1","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","3","RCB","Y","SURVEY_RCB","24"
"2","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","3","RTB","N","RS_RV_RTB","24"
"4","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","3","RTB","N","SURVEY_RTB","24"
"7","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","4","RCB","N","GRIEVANCE_PHASE_I","24"
"11","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","4","RCB","N","RS_RV_RCB","24"
"156","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","4","RCB","N","SURVEY_RCB","24"
"9","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","4","RCB","Y","SURVEY_RCB","24"
"25","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","4","RTB","N","RS_RV_RTB","24"
"3","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","4","RTB","N","SURVEY_RTB","24"
"5","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","5","RCB","N","GRIEVANCE_PHASE_I","24"
"12","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","5","RCB","N","RS_RV_RCB","24"
"124","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","5","RCB","N","SURVEY_RCB","24"
"7","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","5","RCB","Y","SURVEY_RCB","24"
"15","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","5","RTB","N","RS_RV_RTB","24"
"5","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","6","RCB","N","GRIEVANCE_PHASE_I","24"
"1","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","6","RCB","N","MANUAL","24"
"12","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","6","RCB","N","RS_RV_RCB","24"
"79","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","6","RCB","N","SURVEY_RCB","24"
"5","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","6","RCB","Y","SURVEY_RCB","24"
"24","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","6","RTB","N","RS_RV_RTB","24"
"37","Female","Kavrepalanchowk","Bethanchowk Rural Municipality","6","RTB","N","SURVEY_RTB","24"
"3","Female","Kavrepalanchowk","Bhumlu Rural Municipality","1","GRB","N","RS_RV_RCB","24"
"14","Female","Kavrepalanchowk","Bhumlu Rural Municipality","1","RCB","N","GRIEVANCE_PHASE_I","24"
"10","Female","Kavrepalanchowk","Bhumlu Rural Municipality","1","RCB","N","RS_RV_RCB","24"
"142","Female","Kavrepalanchowk","Bhumlu Rural Municipality","1","RCB","N","SURVEY_RCB","24"
"6","Female","Kavrepalanchowk","Bhumlu Rural Municipality","1","RCB","Y","SURVEY_RCB","24"
"5","Female","Kavrepalanchowk","Bhumlu Rural Municipality","2","RCB","N","GRIEVANCE_PHASE_I","24"
"6","Female","Kavrepalanchowk","Bhumlu Rural Municipality","2","RCB","N","RS_RV_RCB","24"
"41","Female","Kavrepalanchowk","Bhumlu Rural Municipality","2","RCB","N","SURVEY_RCB","24"
"14","Female","Kavrepalanchowk","Bhumlu Rural Municipality","3","RCB","N","RS_RV_RCB","24"
"31","Female","Kavrepalanchowk","Bhumlu Rural Municipality","3","RCB","N","SURVEY_RCB","24"
"4","Female","Kavrepalanchowk","Bhumlu Rural Municipality","3","RCB","Y","SURVEY_RCB","24"
"3","Female","Kavrepalanchowk","Bhumlu Rural Municipality","4","RCB","N","GRIEVANCE_PHASE_I","24"
"7","Female","Kavrepalanchowk","Bhumlu Rural Municipality","4","RCB","N","RS_RV_RCB","24"
"70","Female","Kavrepalanchowk","Bhumlu Rural Municipality","4","RCB","N","SURVEY_RCB","24"
"6","Female","Kavrepalanchowk","Bhumlu Rural Municipality","4","RCB","Y","SURVEY_RCB","24"
"7","Female","Kavrepalanchowk","Bhumlu Rural Municipality","5","RCB","N","RS_RV_RCB","24"
"105","Female","Kavrepalanchowk","Bhumlu Rural Municipality","5","RCB","N","SURVEY_RCB","24"
"15","Female","Kavrepalanchowk","Bhumlu Rural Municipality","5","RCB","Y","SURVEY_RCB","24"
"1","Female","Kavrepalanchowk","Bhumlu Rural Municipality","5","RTB","N","RS_RV_RTB","24"
"11","Female","Kavrepalanchowk","Bhumlu Rural Municipality","6","RCB","N","GRIEVANCE_PHASE_I","24"
"4","Female","Kavrepalanchowk","Bhumlu Rural Municipality","6","RCB","N","RS_RV_RCB","24"
"68","Female","Kavrepalanchowk","Bhumlu Rural Municipality","6","RCB","N","SURVEY_RCB","24"
"6","Female","Kavrepalanchowk","Bhumlu Rural Municipality","6","RCB","Y","SURVEY_RCB","24"
"2","Female","Kavrepalanchowk","Bhumlu Rural Municipality","6","RTB","N","RS_RV_RTB","24"
"6","Female","Kavrepalanchowk","Bhumlu Rural Municipality","7","RCB","N","GRIEVANCE_PHASE_I","24"
"1","Female","Kavrepalanchowk","Bhumlu Rural Municipality","7","RCB","N","MANUAL","24"
"6","Female","Kavrepalanchowk","Bhumlu Rural Municipality","7","RCB","N","RS_RV_RCB","24"
"62","Female","Kavrepalanchowk","Bhumlu Rural Municipality","7","RCB","N","SURVEY_RCB","24"
"8","Female","Kavrepalanchowk","Bhumlu Rural Municipality","7","RCB","Y","SURVEY_RCB","24"
"1","Female","Kavrepalanchowk","Bhumlu Rural Municipality","7","RTB","N","RS_RV_RTB","24"
"2","Female","Kavrepalanchowk","Bhumlu Rural Municipality","8","RCB","N","GRIEVANCE_PHASE_I","24"
"27","Female","Kavrepalanchowk","Bhumlu Rural Municipality","8","RCB","N","RS_RV_RCB","24"
"154","Female","Kavrepalanchowk","Bhumlu Rural Municipality","8","RCB","N","SURVEY_RCB","24"
"1","Female","Kavrepalanchowk","Bhumlu Rural Municipality","8","RCB","N","SURVEY_RTB","24"
"11","Female","Kavrepalanchowk","Bhumlu Rural Municipality","8","RCB","Y","SURVEY_RCB","24"
"1","Female","Kavrepalanchowk","Bhumlu Rural Municipality","8","RTB","N","RS_RV_RTB","24"
"8","Female","Kavrepalanchowk","Bhumlu Rural Municipality","8","RTB","N","SURVEY_RTB","24"
"3","Female","Kavrepalanchowk","Bhumlu Rural Municipality","9","RCB","N","GRIEVANCE_PHASE_I","24"
"4","Female","Kavrepalanchowk","Bhumlu Rural Municipality","9","RCB","N","RS_RV_RCB","24"
"155","Female","Kavrepalanchowk","Bhumlu Rural Municipality","9","RCB","N","SURVEY_RCB","24"
"1","Female","Kavrepalanchowk","Bhumlu Rural Municipality","9","RCB","N","SURVEY_RTB","24"
"2","Female","Kavrepalanchowk","Bhumlu Rural Municipality","9","RCB","Y","SURVEY_RCB","24"
"5","Female","Kavrepalanchowk","Bhumlu Rural Municipality","10","RCB","N","GRIEVANCE_PHASE_I","24"
"19","Female","Kavrepalanchowk","Bhumlu Rural Municipality","10","RCB","N","RS_RV_RCB","24"
"107","Female","Kavrepalanchowk","Bhumlu Rural Municipality","10","RCB","N","SURVEY_RCB","24"
"5","Female","Kavrepalanchowk","Bhumlu Rural Municipality","10","RCB","Y","SURVEY_RCB","24"
"2","Female","Kavrepalanchowk","Bhumlu Rural Municipality","10","RTB","N","RS_RV_RTB","24"
"1","Female","Kavrepalanchowk","Bhumlu Rural Municipality","10","RTB","N","SURVEY_RTB","24"
"3","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","1","RCB","N","GRIEVANCE_PHASE_I","24"
"6","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","1","RCB","N","RS_RV_RCB","24"
"45","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","1","RCB","N","SURVEY_RCB","24"
"3","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","1","RCB","Y","SURVEY_RCB","24"
"7","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","1","RTB","N","RS_RV_RTB","24"
"5","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","2","RCB","N","GRIEVANCE_PHASE_I","24"
"2","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","2","RCB","N","RS_RV_RCB","24"
"102","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","2","RCB","N","SURVEY_RCB","24"
"3","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","2","RTB","N","RS_RV_RTB","24"
"5","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","3","RCB","N","GRIEVANCE_PHASE_I","24"
"16","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","3","RCB","N","RS_RV_RCB","24"
"4","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","3","RCB","N","RS_RV_RTB","24"
"194","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","3","RCB","N","SURVEY_RCB","24"
"3","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","3","RCB","N","SURVEY_RTB","24"
"10","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","3","RTB","N","SURVEY_RTB","24"
"1","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","4","RCB","N","GRIEVANCE_PHASE_I","24"
"8","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","4","RCB","N","RS_RV_RCB","24"
"94","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","4","RCB","N","SURVEY_RCB","24"
"3","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","4","RCB","Y","SURVEY_RCB","24"
"3","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","4","RTB","N","SURVEY_RTB","24"
"18","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","5","RCB","N","GRIEVANCE_PHASE_I","24"
"1","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","5","RCB","N","MANUAL","24"
"13","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","5","RCB","N","RS_RV_RCB","24"
"105","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","5","RCB","N","SURVEY_RCB","24"
"2","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","5","RCB","Y","SURVEY_RCB","24"
"3","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","5","RTB","N","RS_RV_RTB","24"
"3","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","5","RTB","N","SURVEY_RTB","24"
"1","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","6","GRB","N","RS_RV_RCB","24"
"1","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","6","GRB","N","RS_RV_RTB","24"
"14","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","6","RCB","N","GRIEVANCE_PHASE_I","24"
"26","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","6","RCB","N","RS_RV_RCB","24"
"126","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","6","RCB","N","SURVEY_RCB","24"
"12","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","6","RCB","Y","SURVEY_RCB","24"
"8","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","6","RTB","N","RS_RV_RTB","24"
"2","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","6","RTB","N","SURVEY_RTB","24"
"6","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","7","RCB","N","GRIEVANCE_PHASE_I","24"
"7","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","7","RCB","N","RS_RV_RCB","24"
"102","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","7","RCB","N","SURVEY_RCB","24"
"11","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","7","RCB","Y","SURVEY_RCB","24"
"5","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","7","RTB","N","RS_RV_RTB","24"
"7","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","7","RTB","N","SURVEY_RTB","24"
"5","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","8","RCB","N","GRIEVANCE_PHASE_I","24"
"18","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","8","RCB","N","RS_RV_RCB","24"
"155","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","8","RCB","N","SURVEY_RCB","24"
"7","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","8","RCB","Y","SURVEY_RCB","24"
"4","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","8","RTB","N","RS_RV_RTB","24"
"1","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","8","RTB","N","SURVEY_RTB","24"
"2","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","9","RCB","N","GRIEVANCE_PHASE_I","24"
"10","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","9","RCB","N","RS_RV_RCB","24"
"85","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","9","RCB","N","SURVEY_RCB","24"
"11","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","9","RCB","Y","SURVEY_RCB","24"
"1","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","9","RTB","N","RS_RV_RTB","24"
"3","Female","Kavrepalanchowk","ChauriDeurali Rural Municipality","9","RTB","N","SURVEY_RTB","24"
"7","Female","Kavrepalanchowk","Dhulikhel  Municipality","1","RCB","N","GRIEVANCE_PHASE_I","24"
"7","Female","Kavrepalanchowk","Dhulikhel  Municipality","1","RCB","N","RS_RV_RCB","24"
"126","Female","Kavrepalanchowk","Dhulikhel  Municipality","1","RCB","N","SURVEY_RCB","24"
"2","Female","Kavrepalanchowk","Dhulikhel  Municipality","1","RCB","Y","SURVEY_RCB","24"
"9","Female","Kavrepalanchowk","Dhulikhel  Municipality","2","RCB","N","GRIEVANCE_PHASE_I","24"
"5","Female","Kavrepalanchowk","Dhulikhel  Municipality","2","RCB","N","RS_RV_RCB","24"
"86","Female","Kavrepalanchowk","Dhulikhel  Municipality","2","RCB","N","SURVEY_RCB","24"
"5","Female","Kavrepalanchowk","Dhulikhel  Municipality","2","RCB","Y","SURVEY_RCB","24"
"2","Female","Kavrepalanchowk","Dhulikhel  Municipality","2","RTB","N","RS_RV_RTB","24"
"5","Female","Kavrepalanchowk","Dhulikhel  Municipality","3","RCB","N","GRIEVANCE_PHASE_I","24"
"1","Female","Kavrepalanchowk","Dhulikhel  Municipality","3","RCB","N","GRIEVANCE_RCB_II","24"
"10","Female","Kavrepalanchowk","Dhulikhel  Municipality","3","RCB","N","RS_RV_RCB","24"
"126","Female","Kavrepalanchowk","Dhulikhel  Municipality","3","RCB","N","SURVEY_RCB","24"
"5","Female","Kavrepalanchowk","Dhulikhel  Municipality","3","RCB","Y","SURVEY_RCB","24"
"1","Female","Kavrepalanchowk","Dhulikhel  Municipality","3","RTB","N","RS_RV_RTB","24"
"4","Female","Kavrepalanchowk","Dhulikhel  Municipality","3","RTB","N","SURVEY_RTB","24"
"5","Female","Kavrepalanchowk","Dhulikhel  Municipality","4","RCB","N","GRIEVANCE_PHASE_I","24"
"6","Female","Kavrepalanchowk","Dhulikhel  Municipality","4","RCB","N","RS_RV_RCB","24"
"44","Female","Kavrepalanchowk","Dhulikhel  Municipality","4","RCB","N","SURVEY_RCB","24"
"6","Female","Kavrepalanchowk","Dhulikhel  Municipality","4","RCB","Y","SURVEY_RCB","24"
"1","Female","Kavrepalanchowk","Dhulikhel  Municipality","4","RTB","N","RS_RV_RTB","24"
"9","Female","Kavrepalanchowk","Dhulikhel  Municipality","4","RTB","N","SURVEY_RTB","24"
"4","Female","Kavrepalanchowk","Dhulikhel  Municipality","5","RCB","N","GRIEVANCE_PHASE_I","24"
"4","Female","Kavrepalanchowk","Dhulikhel  Municipality","5","RCB","N","RS_RV_RCB","24"
"32","Female","Kavrepalanchowk","Dhulikhel  Municipality","5","RCB","N","SURVEY_RCB","24"
"4","Female","Kavrepalanchowk","Dhulikhel  Municipality","5","RCB","Y","SURVEY_RCB","24"
